model_name,future_return_rank_correlation,top_k_sharpe,top_k_cumulative_return,top_k_hit_rate,turnover,n_folds,family
ensemble_best,0.06055397863129078,0.6425450304067707,1.508639406967216,0.5833333333333334,,24,Ensemble (CNN + logistic) ★
cnn_2d_residual_small,0.042612626886253,0.2080024824321495,0.2528248463683997,0.5902777777777778,0.6083916083916084,48,CNN 2D image
logistic_image_scale,0.0392485119047619,0.3850092917634379,0.6569180682499118,0.5902777777777778,0.7167832167832168,24,Baseline (image+logistic)
ensemble_top3,0.037512400793650806,0.2747081690531119,0.42819454812038504,0.5555555555555556,,24,Ensemble (CNN only)
cnn_1d_dilated_image_scale,0.0279637896825396,0.3543778290344382,0.6661490312217531,0.5694444444444444,0.6013986013986014,24,CNN 1D image
cnn_1d_cumulative_scale,0.0270957341269841,0.5214478524828868,0.997737461576838,0.5902777777777778,0.5314685314685315,24,CNN (no image)
cnn_1d_attention_image_scale,0.0231274801587301,0.2681053526198875,0.3917531795867008,0.5902777777777778,0.6013986013986014,24,CNN 1D image
cnn_1d_multiscale_image_scale,0.0086929563492063,0.2458745581951824,0.3424498846240067,0.5833333333333334,0.4615384615384615,24,CNN 1D image
cnn_2d_residual_images,0.0072262677154299,0.0956176804976635,0.015363672622592,0.5486111111111112,0.5559440559440559,48,CNN 2D image
cnn_2d_residual_wd,0.0057041832048021,0.2486287499616241,0.3631335449297577,0.5833333333333334,0.6188811188811189,48,CNN 2D image
cnn_2d_rendered_images,0.0021949404761904,0.2019227555105238,0.2290055040990695,0.5694444444444444,0.5104895104895105,24,CNN 2D image
cnn_1d_image_scale,-0.0010044642857142,0.0727259985608223,-0.0469276895498512,0.5486111111111112,0.527972027972028,24,CNN 1D image
logistic_cumulative_scale,-0.0072172619047619,0.0764379519443762,-0.0512283596592738,0.5555555555555556,0.6468531468531469,24,Baseline (no image)
